antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Huda Beauty', 'Charlotte Tilbury'})",frozenset({'Dior Beauty'}),0.17587939698492464,0.19597989949748743,0.06030150753768844,0.3428571428571428,1.7494505494505492,1.0,0.025832680992904214,1.22350884859078,0.5198170731707316,0.1935483870967742,0.18267857142857136,0.32527472527472523,"Huda Beauty, Charlotte Tilbury",Dior Beauty
"frozenset({'Huda Beauty', 'Dior Beauty'})",frozenset({'Charlotte Tilbury'}),0.07035175879396985,0.5979899497487438,0.06030150753768844,0.8571428571428571,1.4333733493397358,1.0,0.018231862831746666,2.814070351758793,0.3252252252252251,0.09917355371900827,0.644642857142857,0.4789915966386554,"Huda Beauty, Dior Beauty",Charlotte Tilbury
"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",frozenset({'Huda Beauty'}),0.15577889447236182,0.2562814070351759,0.06030150753768844,0.3870967741935484,1.5104364326375712,1.0,0.020378273275927374,1.213435599047871,0.400297619047619,0.1714285714285714,0.17589363557105492,0.31119544592030357,"Charlotte Tilbury, Dior Beauty",Huda Beauty
frozenset({'Huda Beauty'}),"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",0.2562814070351759,0.15577889447236182,0.06030150753768844,0.23529411764705882,1.510436432637571,1.0,0.020378273275927374,1.1039814456899886,0.4543918918918919,0.1714285714285714,0.094187675070028,0.31119544592030357,Huda Beauty,"Charlotte Tilbury, Dior Beauty"
frozenset({'Charlotte Tilbury'}),"frozenset({'Huda Beauty', 'Dior Beauty'})",0.5979899497487438,0.07035175879396985,0.06030150753768844,0.10084033613445377,1.4333733493397358,1.0,0.018231862831746666,1.0339078570422204,0.7520833333333332,0.09917355371900827,0.032795821031115134,0.4789915966386554,Charlotte Tilbury,"Huda Beauty, Dior Beauty"
frozenset({'Dior Beauty'}),"frozenset({'Huda Beauty', 'Charlotte Tilbury'})",0.19597989949748743,0.17587939698492464,0.06030150753768844,0.3076923076923077,1.7494505494505495,1.0,0.025832680992904214,1.1903964265773312,0.5328124999999999,0.1935483870967742,0.15994371482176362,0.32527472527472523,Dior Beauty,"Huda Beauty, Charlotte Tilbury"
"frozenset({'Make Up By Mario', 'Charlotte Tilbury'})",frozenset({'Dior Beauty'}),0.20100502512562815,0.19597989949748743,0.08040201005025126,0.39999999999999997,2.041025641025641,1.0,0.04100906542764072,1.3400335008375208,0.6383647798742138,0.253968253968254,0.25375,0.40512820512820513,"Make Up By Mario, Charlotte Tilbury",Dior Beauty
"frozenset({'Make Up By Mario', 'Dior Beauty'})",frozenset({'Charlotte Tilbury'}),0.10050251256281408,0.5979899497487438,0.08040201005025126,0.7999999999999999,1.33781512605042,1.0,0.02030251761319158,2.0100502512562803,0.2807262569832401,0.13008130081300812,0.5024999999999998,0.46722689075630247,"Make Up By Mario, Dior Beauty",Charlotte Tilbury
"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",frozenset({'Make Up By Mario'}),0.15577889447236182,0.2814070351758794,0.08040201005025126,0.5161290322580645,1.8341013824884793,1.0,0.03656473321380773,1.4850921273031825,0.5386904761904762,0.22535211267605634,0.3266411008346492,0.4009216589861751,"Charlotte Tilbury, Dior Beauty",Make Up By Mario
frozenset({'Make Up By Mario'}),"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",0.2814070351758794,0.15577889447236182,0.08040201005025126,0.2857142857142857,1.834101382488479,1.0,0.03656473321380773,1.1819095477386934,0.6328671328671328,0.22535211267605634,0.15391156462585032,0.4009216589861751,Make Up By Mario,"Charlotte Tilbury, Dior Beauty"
